CGP No.,CGP Link,OCLC No.,Item No.,SuDoc No.,Date,PURL,Title
1114167,https://catalog.gpo.gov/F/?func=direct&doc_number=1114167&local_base=GPO01PUB,1138903627,0807-A-07 (online),LC 14.23:RL 34294/,-2018,https://purl.fdlp.gov/GPO/gpo131278,Energy Independence and Security Act of 2007 : a summary of major provisions
1114168,https://catalog.gpo.gov/F/?func=direct&doc_number=1114168&local_base=GPO01PUB,1138903593,0807-A-07 (online),LC 14.23:RL 32543/,-2018,https://purl.fdlp.gov/GPO/gpo131320,Energy savings performance contracts : reauthorization issues
1114170,https://catalog.gpo.gov/F/?func=direct&doc_number=1114170&local_base=GPO01PUB,1138903579,0807-A-07 (online),LC 14.23:R 41507/,-2018,https://purl.fdlp.gov/GPO/gpo131322,"Energy's water demand : trends, vulnerabilities, and management"
1114176,https://catalog.gpo.gov/F/?func=direct&doc_number=1114176&local_base=GPO01PUB,1140447156,0621-L (online),I 19.127:2019-3050,2019,https://purl.fdlp.gov/GPO/gpo131778,"Assessment of undiscovered gas resources in the Middle Devonian Marcellus Shale of the Appalachian Basin Province, 2019."
1114243,https://catalog.gpo.gov/F/?func=direct&doc_number=1114243&local_base=GPO01PUB,1138991426,0378-H-22 (online),D 5.423:111,[2018],https://purl.fdlp.gov/GPO/gpo131823,United Nations peacekeeping operations : environmental sustainability
1114256,https://catalog.gpo.gov/F/?func=direct&doc_number=1114256&local_base=GPO01PUB,1138991554,0807-A-07 (online),LC 14.23:RL 34191/,-2018,https://purl.fdlp.gov/GPO/gpo131666,Ethanol and other biofuels : potential for U.S.-Brazil energy cooperation
1114302,https://catalog.gpo.gov/F/?func=direct&doc_number=1114302&local_base=GPO01PUB,1139332537,0646-R (online),I 29.89:2012/515,2012,https://purl.fdlp.gov/GPO/gpo82510,"Castillo de San Marcos and Fort Matanzas National Monuments, Florida"
1114336,https://catalog.gpo.gov/F/?func=direct&doc_number=1114336&local_base=GPO01PUB,1139344564,0807-A-07 (online),LC 14.23:R 40197/,-2018,https://purl.fdlp.gov/GPO/gpo131340,Environmental Quality Incentives Program (EQIP) : status and issues
1114452,https://catalog.gpo.gov/F/?func=direct&doc_number=1114452&local_base=GPO01PUB,1139708486,0646-R (online),I 29.89:2010/180,2010,https://purl.fdlp.gov/GPO/gpo131937,Big Thicket National Preserve
1114592,https://catalog.gpo.gov/F/?func=direct&doc_number=1114592&local_base=GPO01PUB,1140073354,0646-R (online),I 29.89:2010/272,2010,http://purl.fdlp.gov/GPO/gpo131995,Strategy for enhanced monitoring of natural resource condition in North Atlantic Coastal parks to address the effects of rapid climate change
1114606,https://catalog.gpo.gov/F/?func=direct&doc_number=1114606&local_base=GPO01PUB,1140074096,0646-R (online),I 29.89:2010/228,2010,http://purl.fdlp.gov/GPO/gpo132003,A natural resource condition assessment for Rocky Mountain National Park
1114615,https://catalog.gpo.gov/F/?func=direct&doc_number=1114615&local_base=GPO01PUB,1140074758,1040-C (online),Y 4.EN 2:S.HRG.115-518,2020,https://purl.fdlp.gov/GPO/gpo132010,"Oversight of the Federal Energy Regulatory Commission : hearing before the Committee on Energy and Natural Resources, United States Senate, One Hundred Fifteenth Congress, second session, June 12, 2018."
1114625,https://catalog.gpo.gov/F/?func=direct&doc_number=1114625&local_base=GPO01PUB,1140075574,1008-I (online),Y 1.1/8:116-389,2020,https://purl.fdlp.gov/GPO/gpo132024,"Northwest California Wilderness, Recreation, and Working Forests Act : report together with dissenting views (to accompany H.R. 2250) (including cost estimate of the Congressional Budget Office)."
1114645,https://catalog.gpo.gov/F/?func=direct&doc_number=1114645&local_base=GPO01PUB,1140076441,0646-R (online),I 29.89:2011/425,2011,https://purl.fdlp.gov/GPO/gpo82514,George Washington Carver National Monument natural resource condition assessment
1114647,https://catalog.gpo.gov/F/?func=direct&doc_number=1114647&local_base=GPO01PUB,1140098382,0646-R (online),I 29.89:2011/426,2011,https://purl.fdlp.gov/GPO/gpo82515,Pea Ridge National Military Park natural resource condition assessment
1114661,https://catalog.gpo.gov/F/?func=direct&doc_number=1114661&local_base=GPO01PUB,1140203186,0629-E-10 (online),I 53.59/2:AK 1 S,2007,https://purl.fdlp.gov/GPO/gpo132049,Record of decision and approved east Alaska management plan
1114719,https://catalog.gpo.gov/F/?func=direct&doc_number=1114719&local_base=GPO01PUB,1057899395,0483-E-01 (online),EP 4.2:EM 4/100/DRAFT,1999,https://purl.fdlp.gov/GPO/gpo131804,Modeling emission factors for compressed natural gas vehicles : M6.FUL.004
1114769,https://catalog.gpo.gov/F/?func=direct&doc_number=1114769&local_base=GPO01PUB,1140384805,0646-R (online),I 29.89:2011/427,2011,http://purl.fdlp.gov/GPO/gpo82517,Wilson's Creek National Battlefield natural resource condition assessment
1114875,https://catalog.gpo.gov/F/?func=direct&doc_number=1114875&local_base=GPO01PUB,985370729,0624-B-05 (online),I 19.42/4:77-131,1978,https://purl.fdlp.gov/GPO/gpo132197,"Geohydrologic data from the Jemez Mountains and vicinity, north-central New Mexico"
1114970,https://catalog.gpo.gov/F/?func=direct&doc_number=1114970&local_base=GPO01PUB,1140644299,0646-R (online),I 29.89:2011/405,2011,https://purl.fdlp.gov/GPO/gpo132241,"Assateague Island National Seashore natural resource condition assessment, Maryland, Virginia"
1115175,https://catalog.gpo.gov/F/?func=direct&doc_number=1115175&local_base=GPO01PUB,1141100640,0807-A-09 (online),LC 14.24:IF 10939/,-2019,https://purl.fdlp.gov/GPO/gpo132381,Gas Exporting Countries Forum (GECF) :  Cartel Lite?
1115603,https://catalog.gpo.gov/F/?func=direct&doc_number=1115603&local_base=GPO01PUB,1142101201,0807-A-07 (online),LC 14.23:R 40074/,-2019,https://purl.fdlp.gov/GPO/gpo132577,"Fifth Summit of the Americas, Port of Spain, Trinidad and Tobago, April 2009 :  background, expectations, and results"
