001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001077604,151113s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059909, 0249-A (online), C 13.46:264, HAYSTAQ:  a mechanized system for searching chemical information /, NBS technical note ; 264 , https://doi.org/10.6028/NBS.TN.264 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c470252a0d20502b7d863e1568d8a304/pdf/GOVPUB-C13-c470252a0d20502b7d863e1568d8a304.pdf https://purl.fdlp.gov/GPO/gpo102739
001077605,151113s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059952, 0249-A (online), C 13.46:265, Tabulation of published data on Soviet electron devices through June 1965 / , NBS technical note ; 265 , https://doi.org/10.6028/NBS.TN.265 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b831b6fcd21444fa95d07454d1cda487/pdf/GOVPUB-C13-b831b6fcd21444fa95d07454d1cda487.pdf https://purl.fdlp.gov/GPO/gpo102226
001077607,151113s1966\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059967, 0249-A (online), C 13.46:268," Transistorized building blocks for data instrumentation. Sponsored by Advanced Research Projects Agency, Nuclear Test Detection Office, ARPA Order no. 183 / ", NBS technical note ; 268 , https://doi.org/10.6028/NBS.TN.268 https://www.govinfo.gov/content/pkg/GOVPUB-C13-67d7d79832680ed23e22a9a52ea48db0/pdf/GOVPUB-C13-67d7d79832680ed23e22a9a52ea48db0.pdf https://purl.fdlp.gov/GPO/gpo98861
001077609,151113s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059970, 0249-A (online), C 13.46:270-1, Selected values of chemical thermodynamic properties. Part 1. Tables for the first 23 elements in the standard order of arrangement / , NBS technical note ;  270-1. , https://doi.org/10.6028/NBS.TN.270-1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d5379d6107f608a8f9e01495d90decee/pdf/GOVPUB-C13-d5379d6107f608a8f9e01495d90decee.pdf https://purl.fdlp.gov/GPO/gpo103407
001077610,151113s1966\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059972, 0249-A (online), C 13.46:270-2, Selected values of chemical thermodynamic properties. Part 2. Tables for the elements 23-32 in the standard order of arrangement / , NBS technical note ;  270-2. , https://doi.org/10.6028/NBS.TN.270-2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c2e58fbede72c5190d9fd1a7fce86967/pdf/GOVPUB-C13-c2e58fbede72c5190d9fd1a7fce86967.pdf https://purl.fdlp.gov/GPO/gpo102667
001077611,151113s1968\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059928, 0249-A (online), C 13.46:270-3, Selected values of chemical thermodynamic properties. :  part 3. Tables for the first 34 elements in the standard order of arrangement/, NBS technical note ;  270-3. , https://doi.org/10.6028/NBS.TN.270-3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-bdd64de24b97b724e310acd9df3376a5/pdf/GOVPUB-C13-bdd64de24b97b724e310acd9df3376a5.pdf https://purl.fdlp.gov/GPO/gpo102434
001077612,151113s1969\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059929, 0249-A (online), C 13.46:270-4, Selected values of chemical thermodynamic properties :  part 4 tables for elements 35-53 in the standard order of arrangement/, NBS technical note ;  270-4. , https://doi.org/10.6028/NBS.TN.270-4 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3b67ca326a6b141b12cea5e6fe6627e0/pdf/GOVPUB-C13-3b67ca326a6b141b12cea5e6fe6627e0.pdf https://purl.fdlp.gov/GPO/gpo97338
001077613,151113s1971\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059931, 0249-A (online), C 13.46:270-5, Selected values of chemical thermodynamic properties :  part 5 Tables for elements 54-61 in the standard order of arrangement/, NBS technical note ;  270-5. , https://doi.org/10.6028/NBS.TN.270-5 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2ef114760659dd3411c06911fad4f15a/pdf/GOVPUB-C13-2ef114760659dd3411c06911fad4f15a.pdf https://purl.fdlp.gov/GPO/gpo96421
001077614,151113s1971\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929060030, 0249-A (online), C 13.46:270-6, Selected values of chemical thermodynamic properties :  part 6 Tables for the Alkaline Earth Elements (Elements 92-97) in the standard order of arrangement/, NBS technical note ;  270-6. , https://doi.org/10.6028/NBS.TN.270-6 https://www.govinfo.gov/content/pkg/GOVPUB-C13-cbff5de8f3725f9d06dfba7d3f71ec92/pdf/GOVPUB-C13-cbff5de8f3725f9d06dfba7d3f71ec92.pdf https://purl.fdlp.gov/GPO/gpo103054
001077615,151113s1973\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929060031, 0249-A (online), C 13.46:270-7, Selected values of chemical thermodynamic properties :  part 7 Tables for the Lanthanide (Rare Earth) Elements (Elements 62-76) in the standard order of arrangement/, NBS technical note ;  270-7. , https://doi.org/10.6028/NBS.TN.270-7 https://www.govinfo.gov/content/pkg/GOVPUB-C13-24e97a1d34ecf5149a21ec479d23a19f/pdf/GOVPUB-C13-24e97a1d34ecf5149a21ec479d23a19f.pdf https://purl.fdlp.gov/GPO/gpo96029
