001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069203,070501s2004\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123904070, 0247-D (online), C 13.58:7177, Limits to the effectiveness of metal-containing fire suppressants / , NISTIR ; 7177 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-4ca6c3ea9f78698a9d965bc13b8fd066/pdf/GOVPUB-C13-4ca6c3ea9f78698a9d965bc13b8fd066.pdf https://purl.fdlp.gov/GPO/gpo97683
001069204,070501s2005\\\\mdua\\\\o\\\\f000\0\eng\d, (OCoLC)123903697, 0247-D (online), C 13.58:7263, Healthcare strategic focus area :  clinical informatics /, NISTIR ; 7263 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-4eafa7e06bd47e9db5740f39f178c3e8/pdf/GOVPUB-C13-4eafa7e06bd47e9db5740f39f178c3e8.pdf https://purl.fdlp.gov/GPO/gpo97759
001069205,070509s2004\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)124074582, 0247-D (online), C 13.58:7178, Model solid sample burning with FDS / , NISTIR ; 7178 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-57945e9171037a388a591478987ddb09/pdf/GOVPUB-C13-57945e9171037a388a591478987ddb09.pdf https://purl.fdlp.gov/GPO/gpo98092
001069206,070501s2004\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123903961, 0247-D (online), C 13.58:7063, Suspended hydration and loss of freezable water in cement pastes exposed to 90% relative humidity / , NISTIR ; 7063 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-5f16ca794d315cb6f29153b56c8cb1b1/pdf/GOVPUB-C13-5f16ca794d315cb6f29153b56c8cb1b1.pdf https://purl.fdlp.gov/GPO/gpo98532
001069207,070501s2004\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123904078, 0247-D (online), C 13.58:7184, Semiconductor factory and equipment clock synchronization for e-manufacturing / , NISTIR ; 7184 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-67d3fbc3598ae3abfa730696d6074238/pdf/GOVPUB-C13-67d3fbc3598ae3abfa730696d6074238.pdf https://purl.fdlp.gov/GPO/gpo98859
001069208,091208s2009\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)475616118, 0247-D (online), C 13.58:7608, Software assurance using structured assurance case models / , NISTIR ; 7608 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-688358da0e3f532c690f2efef0f056a6/pdf/GOVPUB-C13-688358da0e3f532c690f2efef0f056a6.pdf https://purl.fdlp.gov/GPO/gpo98894
001069209,070509s2005\\\\mdua\\\\o\\\\f000\0\eng\d, (OCoLC)124074344, 0247-D (online), C 13.58:7302, Proceeding of the 2005 conference on IEEE 1588 standard for a precision clock synchronization protocol for networked measurement and control systems / , NISTIR ; 7302 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-68c4bd0cf52ab2372a2c63f753dc85ee/pdf/GOVPUB-C13-68c4bd0cf52ab2372a2c63f753dc85ee.pdf https://purl.fdlp.gov/GPO/gpo98902
001069210,170724s2010\\\\mdu\\\\\obt\\f000\0\eng\d, (OCoLC)994348831, 0247-D (online), C 13.58:7731, Bicubic b-spline surface approximation of invariant tori / , NISTIR ; 7731 , https://doi.org/10.6028/NIST.IR.7731 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6e835552ac9593c10f6667fbb5dd8d23/pdf/GOVPUB-C13-6e835552ac9593c10f6667fbb5dd8d23.pdf https://purl.fdlp.gov/GPO/gpo99111
001069211,070509s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)124075547, 0247-D (online), C 13.58:7266," Proceedings of the 2nd NIST LADAR performance evaluation workshop :  March 15-16, 2005 /", NISTIR ; 7266 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-6f67418705d8bfa163342705fd932626/pdf/GOVPUB-C13-6f67418705d8bfa163342705fd932626.pdf https://purl.fdlp.gov/GPO/gpo99155
001069213,070416s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123128229, 0247-D (online), C 13.58:7234, Implementation of simulation program for modeling the effective resistivity of nanometer scale film and line interconnects / , NISTIR ; 7234 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-752d1bed8ba5e339a5dbbbe7614cc375/pdf/GOVPUB-C13-752d1bed8ba5e339a5dbbbe7614cc375.pdf https://purl.fdlp.gov/GPO/gpo99378
001069214,070323s2006\\\\mdu\\\\\o\\\\f000\0\eng\d, (OCoLC)86119176, 0247-D (online), C 13.58:7308, An algorithm for generating very large covering arrays / , NISTIR ; 7308 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-75310ef399fc780473bdc802bdc1a4a3/pdf/GOVPUB-C13-75310ef399fc780473bdc802bdc1a4a3.pdf https://purl.fdlp.gov/GPO/gpo99381
001069215,070501s2004\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123904058, 0247-D (online), C 13.58:7173, Information models for product representation :  core and assembly models /, NISTIR ; 7173 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-788bdb27ef921c97bb9412516cb2de6b/pdf/GOVPUB-C13-788bdb27ef921c97bb9412516cb2de6b.pdf https://purl.fdlp.gov/GPO/gpo99536
001069216,090116s2006\\\\mdua\\\\ob\\\f100\0\eng\d, (OCoLC)298563293, 0247-D (online), C 13.58:7377, Summary of NIST latent fingerprint testing workshop / , NISTIR ; 7377 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-78bb62e229a48b4f2770dfa2a0e49444/pdf/GOVPUB-C13-78bb62e229a48b4f2770dfa2a0e49444.pdf https://purl.fdlp.gov/GPO/gpo99544
001069217,091022s2008\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)458300332, 0247-D (online), C 13.58:7525, Standards development for gas phase air cleaning equipment in buildings / , NISTIR ; 7525 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-78c4704a96fc94e6d05f5b30c5fe4674/pdf/GOVPUB-C13-78c4704a96fc94e6d05f5b30c5fe4674.pdf https://purl.fdlp.gov/GPO/gpo99548
001069218,070509s2004\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)124074573, 0247-D (online), C 13.58:7172, An Assessment of passive microwave and millimeterwave sensors for the standoff detection of chemical agents / , NISTIR ; 7172 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-833658d60e22d2c5236a654165b12ba3/pdf/GOVPUB-C13-833658d60e22d2c5236a654165b12ba3.pdf https://purl.fdlp.gov/GPO/gpo99947
001069219,070509s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)124075066, 0247-D (online), C 13.58:7239, Data transfer strategy for machine shop simulation / , NISTIR ; 7239 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-83c4c0656aef6a93851ebd91ee98dc5e/pdf/GOVPUB-C13-83c4c0656aef6a93851ebd91ee98dc5e.pdf https://purl.fdlp.gov/GPO/gpo99963
001069220,090116s2003\\\\mdua\\\\obt\\f100\0\eng\d, (OCoLC)298551110, 0247-D (online), C 13.58:7155, Workshop on combustion simulation databases for real transportation fuels / , NISTIR ; 7155 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-88614810fd92f758be13b36a34b44a5d/pdf/GOVPUB-C13-88614810fd92f758be13b36a34b44a5d.pdf https://purl.fdlp.gov/GPO/gpo100321
001069221,070501s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123903894, 0247-D (online), C 13.58:7217, Percise theory of levels of hydrogen and deuterium :  the two-photon radiative corrections /, NISTIR ; 7217 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-886ccc85d9226d4012a2c2169b27713b/pdf/GOVPUB-C13-886ccc85d9226d4012a2c2169b27713b.pdf https://purl.fdlp.gov/GPO/gpo100323
001069222,070416s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123128279, 0247-D (online), C 13.58:7301, Proposed test methodology and performance rating standard for residential fuel cell systems / , NISTIR ; 7301 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-88cd11d874d1b70b858108eb5086c037/pdf/GOVPUB-C13-88cd11d874d1b70b858108eb5086c037.pdf https://purl.fdlp.gov/GPO/gpo100339
001069223,070323s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)86119147, 0247-D (online), C 13.58:7310, Evaluating reasoning systems / , NISTIR ; 7310 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-8eb3ba7b661267ba1df1dd72004d565a/pdf/GOVPUB-C13-8eb3ba7b661267ba1df1dd72004d565a.pdf https://purl.fdlp.gov/GPO/gpo100571
001069224,070323s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)86114791, 0247-D (online), C 13.58:7354, Using semantic web methods to improve information resource quality / , NISTIR ; 7354 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-8ef7b4426fd1befccbe6d730b22295c7/pdf/GOVPUB-C13-8ef7b4426fd1befccbe6d730b22295c7.pdf https://purl.fdlp.gov/GPO/gpo100582
001069225,070323s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)86119233, 0247-D (online), C 13.58:7305, Trends and opportunities in photonics technologies :  solid-state lighting and healthcare /, NISTIR ; 7305 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-92a0f6ec3352faa0e7280c487d9ae47f/pdf/GOVPUB-C13-92a0f6ec3352faa0e7280c487d9ae47f.pdf https://purl.fdlp.gov/GPO/gpo100721
