001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069149,151030s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168600, 0241 (online), C 13.29/2:151, Turbulent wind effects on tension leg platform surge / , NBS building science series ; 151 , https://doi.org/10.6028/NBS.BSS.151 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d876b704a8e91b508202cbbc6933f45c/pdf/GOVPUB-C13-d876b704a8e91b508202cbbc6933f45c.pdf https://purl.fdlp.gov/GPO/gpo103767
001069150,151030s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168601, 0241 (online), C 13.29/2:152, A Daylighting model for building energy simulation / , NBS building science series ; 152 , https://doi.org/10.6028/NBS.BSS.152 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3bf654bef45f10c7f420a2376e197fb3/pdf/GOVPUB-C13-3bf654bef45f10c7f420a2376e197fb3.pdf https://purl.fdlp.gov/GPO/gpo96954
001069151,151030s1984\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168743, 0241 (online), C 13.29/2:153, Calibration of temperature measurement systems installed in buildings / , NBS building science series ; 153 , https://doi.org/10.6028/NBS.BSS.153 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f8117f6d5432cf3028eab5e83414fb12/pdf/GOVPUB-C13-f8117f6d5432cf3028eab5e83414fb12.pdf https://purl.fdlp.gov/GPO/gpo105103
001069152,151030s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168756, 0241 (online), C 13.29/2:154, Wind loading and strength of cladding glass / , NBS building science series ; 154 , https://doi.org/10.6028/NBS.BSS.154 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4076ebfda9c793cbbc72b9f63373de79/pdf/GOVPUB-C13-4076ebfda9c793cbbc72b9f63373de79.pdf https://purl.fdlp.gov/GPO/gpo97091
001069153,151030s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168757, 0241 (online), C 13.29/2:155, Computer modeling of the vapor compression cycle with constant flow area expansion device / , NBS building science series ; 155 , https://doi.org/10.6028/NBS.BSS.155 https://www.govinfo.gov/content/pkg/GOVPUB-C13-400e495a6358fff536acbf932cb0ba21/pdf/GOVPUB-C13-400e495a6358fff536acbf932cb0ba21.pdf https://purl.fdlp.gov/GPO/gpo97073
001069154,151030s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168758, 0241 (online), C 13.29/2:156, Annual variation of temperature field in heat transfer under heated ground surfaces (slab-on-grade floor heat loss calculation) / , NBS building science series ; 156 , https://doi.org/10.6028/NBS.BSS.156 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1f9beefa5f6720727bdf92b3f8e8a35a/pdf/GOVPUB-C13-1f9beefa5f6720727bdf92b3f8e8a35a.pdf https://purl.fdlp.gov/GPO/gpo95750
001069155,151030s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168744, 0241 (online), C 13.29/2:157, General guidelines for the on-site calibration of humidity and moisture control systems in buildings / , NBS building science series ; 157 , https://doi.org/10.6028/NBS.BSS.157 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6ae0cbcff1ef20cc2b38cefcf9ce8741/pdf/GOVPUB-C13-6ae0cbcff1ef20cc2b38cefcf9ce8741.pdf https://purl.fdlp.gov/GPO/gpo98977
001069156,151030s1984\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168745, 0241 (online), C 13.29/2:159, On-site calibration of flow metering systems installed in buildings / , NBS building science series ; 159 , https://doi.org/10.6028/NBS.BSS.159 https://www.govinfo.gov/content/pkg/GOVPUB-C13-705b0321654b35355f1da2f1bbbf77d1/pdf/GOVPUB-C13-705b0321654b35355f1da2f1bbbf77d1.pdf https://purl.fdlp.gov/GPO/gpo99206
001069158,151030s1984\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168747, 0241 (online), C 13.29/2:161, Effectiveness of solar shading for an office building / , NBS building science series ; 161 , https://doi.org/10.6028/NBS.BSS.161 https://www.govinfo.gov/content/pkg/GOVPUB-C13-38c306587a246b3973ad2084f877c1da/pdf/GOVPUB-C13-38c306587a246b3973ad2084f877c1da.pdf https://purl.fdlp.gov/GPO/gpo96719
001069159,151030s1984\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168748, 0241 (online), C 13.29/2:162, Ring-on-ring tests and load capacity of cladding glass / , NBS building science series ; 162 , https://doi.org/10.6028/NBS.BSS.162 https://www.govinfo.gov/content/pkg/GOVPUB-C13-98d3c82738e5d809f3df6044a9b5d904/pdf/GOVPUB-C13-98d3c82738e5d809f3df6044a9b5d904.pdf https://purl.fdlp.gov/GPO/gpo100978
001069160,151030s1984\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168763, 0241 (online), C 13.29/2:163, Potential energy savings in residential oil-fired heating systems in the U.S. / , NBS building science series ; 163 , https://doi.org/10.6028/NBS.BSS.163 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d99e976abca9a16dd90d9763df0ae962/pdf/GOVPUB-C13-d99e976abca9a16dd90d9763df0ae962.pdf https://purl.fdlp.gov/GPO/gpo103808
001069161,151030s1987\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168764, 0241 (online), C 13.29/2:165," Engineering aspects of the September 19, 1985 Mexico earthquake / ", NBS building science series ; 165 , https://doi.org/10.6028/NBS.BSS.165 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ed7dd52e322aecad79dd8173ae5ec3a8/pdf/GOVPUB-C13-ed7dd52e322aecad79dd8173ae5ec3a8.pdf https://purl.fdlp.gov/GPO/gpo104682
001116246,100325s1979\\\\dcua\\\\ob\\\f000\0\eng\d, (OCoLC)573433309, 0241 (online), C 13.29/2:107, Soil and rock anchors for mobile homes :  a state-of-the-art report /, NBS building science series ; 107 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-c1f0559faeb7b36596b51af2d3ece469/pdf/GOVPUB-C13-c1f0559faeb7b36596b51af2d3ece469.pdf https://purl.fdlp.gov/GPO/gpo102631
