001,008,035$a,074$a,086$a,245,830,856$u
"001074180","151026s1917\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732033","0247 (online)","C 13.10:14","Weights and measures eleventh annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;14.","https://doi.org/10.6028/NBS.MP.14;https://www.govinfo.gov/content/pkg/GOVPUB-C13-cf11193d3e68c11fb8f35ddccb204179/pdf/GOVPUB-C13-cf11193d3e68c11fb8f35ddccb204179.pdf;https://purl.fdlp.gov/GPO/gpo103165"
"001074182","151026s1912\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732034","0247 (online)","C 13.10:16","Report on the concrete standards of the international electrical units /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;16.","https://doi.org/10.6028/NBS.MP.16;https://www.govinfo.gov/content/pkg/GOVPUB-C13-0fdb51521ee65a4f6a9bfe9d503d7aea/pdf/GOVPUB-C13-0fdb51521ee65a4f6a9bfe9d503d7aea.pdf;https://purl.fdlp.gov/GPO/gpo95052"
"001074183","151026s1911\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732048","0247 (online)","C 13.10:18","The National Bureau of Standards /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;18.","https://doi.org/10.6028/NBS.MP.18;https://www.govinfo.gov/content/pkg/GOVPUB-C13-b86056fa17b775ef79fa09a5ac81863c/pdf/GOVPUB-C13-b86056fa17b775ef79fa09a5ac81863c.pdf;https://purl.fdlp.gov/GPO/gpo102237"
"001074204","151026s1920\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732132","0247 (online)","C 13.10:39-2","Household weights and measures (third edition) /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;39-2.","https://doi.org/10.6028/NBS.MP.39-2;https://www.govinfo.gov/content/pkg/GOVPUB-C13-3ec4f98be8c6a6cce4699e38c3f430f5/pdf/GOVPUB-C13-3ec4f98be8c6a6cce4699e38c3f430f5.pdf;https://purl.fdlp.gov/GPO/gpo97389"
"001074205","151026s1926\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731898","0247 (online)","C 13.10:39-3","Household weights and measures (second edition) /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;39-3.","https://doi.org/10.6028/NBS.MP.39-3;https://www.govinfo.gov/content/pkg/GOVPUB-C13-cf4f98a8a0f4c990dc3419eb8589c1e6/pdf/GOVPUB-C13-cf4f98a8a0f4c990dc3419eb8589c1e6.pdf;https://purl.fdlp.gov/GPO/gpo103176"
"001074207","151026s1920\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732134","0247 (online)","C 13.10:41","Weights and measures twelfth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;41.","https://doi.org/10.6028/NBS.MP.41;https://www.govinfo.gov/content/pkg/GOVPUB-C13-dd5f10beda6323c5fd8af857b7024071/pdf/GOVPUB-C13-dd5f10beda6323c5fd8af857b7024071.pdf;https://purl.fdlp.gov/GPO/gpo104000"
"001074209","151026s1921\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732135","0247 (online)","C 13.10:43","Weights and measures thirteenth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;43.","https://doi.org/10.6028/NBS.MP.43;https://www.govinfo.gov/content/pkg/GOVPUB-C13-3336f35e9ad4a1a94f1905ca0f4baf45/pdf/GOVPUB-C13-3336f35e9ad4a1a94f1905ca0f4baf45.pdf;https://purl.fdlp.gov/GPO/gpo96538"
"001074214","151026s1922\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732149","0247 (online)","C 13.10:48","Weights and measures fourteenth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;48.","https://doi.org/10.6028/NBS.MP.48;https://www.govinfo.gov/content/pkg/GOVPUB-C13-6101037888dd4d1eae1d621e9b945e75/pdf/GOVPUB-C13-6101037888dd4d1eae1d621e9b945e75.pdf;https://purl.fdlp.gov/GPO/gpo98606"
"001074217","151026s1922\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731899","0247 (online)","C 13.10:51","Weights and measures fifteenth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;51.","https://doi.org/10.6028/NBS.MP.51;https://www.govinfo.gov/content/pkg/GOVPUB-C13-1c3a0687e7796b377d3e197c63d57ec7/pdf/GOVPUB-C13-1c3a0687e7796b377d3e197c63d57ec7.pdf;https://purl.fdlp.gov/GPO/gpo95680"
"001074218","151026s1923\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731955","0247 (online)","C 13.10:52","Bureau of Standards Mollier chart of properties of ammonia /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;52.","https://doi.org/10.6028/NBS.MP.52;https://www.govinfo.gov/content/pkg/GOVPUB-C13-9a60a592643da8c4588a5ae71ecd103c/pdf/GOVPUB-C13-9a60a592643da8c4588a5ae71ecd103c.pdf;https://purl.fdlp.gov/GPO/gpo101024"
