001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069279,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907375, 0247-D (online), C 13.58:88-3762," Center for Electronics and Engineering :  technical progress bulletin covering center programs, October to December 1987 with 1988 CEEE events calendar /", NBSIR;  88-3762. , https://doi.org/10.6028/NBS.IR.88-3762 https://www.govinfo.gov/content/pkg/GOVPUB-C13-33106e548fb7b0bfb1aa8ccc583b56c7/pdf/GOVPUB-C13-33106e548fb7b0bfb1aa8ccc583b56c7.pdf https://purl.fdlp.gov/GPO/gpo96821
001069280,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907376, 0247-D (online), C 13.58:88-3763, Data handling in the vertical workstation of the automated manufacturing research facility at the National Bureau of Standards / , NBSIR;  88-3763. , https://doi.org/10.6028/NBS.IR.88-3763 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a5cf1c2be25c1b4a9a030503f05eb7a8/pdf/GOVPUB-C13-a5cf1c2be25c1b4a9a030503f05eb7a8.pdf https://purl.fdlp.gov/GPO/gpo101471
001069281,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907377, 0247-D (online), C 13.58:88-3764, Large-scale compartment fire toxicity study :  comparison with small-scale toxicity test results /, NBSIR;  88-3764. , https://doi.org/10.6028/NBS.IR.88-3764 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8b8e3f0bad0e3e53b1ccd22552e9f063/pdf/GOVPUB-C13-8b8e3f0bad0e3e53b1ccd22552e9f063.pdf https://purl.fdlp.gov/GPO/gpo100442
001069282,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907378, 0247-D (online), C 13.58:88-3765, Effect of blow count on energy transfer in SPT / , NBSIR;  88-3765. , https://doi.org/10.6028/NBS.IR.88-3765 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7459d3cc8ea54e44394bb36a59807ef8/pdf/GOVPUB-C13-7459d3cc8ea54e44394bb36a59807ef8.pdf https://purl.fdlp.gov/GPO/gpo99352
001069283,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907379, 0247-D (online), C 13.58:88-3766, Operations manual for the inspection workstation / , NBSIR;  88-3766. , https://doi.org/10.6028/NBS.IR.88-3766 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4c15fb36ad724bb8a4ade98c55b0a912/pdf/GOVPUB-C13-4c15fb36ad724bb8a4ade98c55b0a912.pdf https://purl.fdlp.gov/GPO/gpo97657
001069284,160620s1986\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907146, 0247-D (online), C 13.58:86-3502, A qualitative analysis of the inherent fire safety/fire risk in a coal mine / , NBSIR;  86-3502. , https://doi.org/10.6028/NBS.IR.86-3502 https://www.govinfo.gov/content/pkg/GOVPUB-C13-95c219afb70e083bdfb329223690bf9a/pdf/GOVPUB-C13-95c219afb70e083bdfb329223690bf9a.pdf https://purl.fdlp.gov/GPO/gpo100853
001069285,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907381, 0247-D (online), C 13.58:88-3768, Standards conformance testing :  issues and activities /, NBSIR;  88-3768. , https://doi.org/10.6028/NBS.IR.88-3768 https://www.govinfo.gov/content/pkg/GOVPUB-C13-34e07f69bb3b2d2c0c852ad1f582ddeb/pdf/GOVPUB-C13-34e07f69bb3b2d2c0c852ad1f582ddeb.pdf https://purl.fdlp.gov/GPO/gpo96822
001069286,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032446, 0247-D (online), C 13.58:88-3710," Structural reliability and damage tolerance of ceramic composites for high-temperature applications semi-annual progress report for the period ending September 30, 1987 / ", NBSIR;  88-3710. , https://doi.org/10.6028/NBS.IR.88-3710 https://www.govinfo.gov/content/pkg/GOVPUB-C13-297a293e4e38dce64c4c9bc00946fa22/pdf/GOVPUB-C13-297a293e4e38dce64c4c9bc00946fa22.pdf https://purl.fdlp.gov/GPO/gpo96119
001069287,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032480, 0247-D (online), C 13.58:88-3827, Evaluation of the working environment at selected US Army field stations :  suggestions for improvement /, NBSIR;  88-3827. , https://doi.org/10.6028/NBS.IR.88-3827 https://www.govinfo.gov/content/pkg/GOVPUB-C13-db9608c73d860a22903ee457b23d4947/pdf/GOVPUB-C13-db9608c73d860a22903ee457b23d4947.pdf https://purl.fdlp.gov/GPO/gpo103902
001069288,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032491, 0247-D (online), C 13.58:88-3699, Technical activities 1987 :  Surface Science division /, NBSIR;  88-3699. , https://doi.org/10.6028/NBS.IR.88-3699 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c11239bd83777cb720ae1adf0018bb29/pdf/GOVPUB-C13-c11239bd83777cb720ae1adf0018bb29.pdf https://purl.fdlp.gov/GPO/gpo102576
001069289,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032492, 0247-D (online), C 13.58:88-3700, A technical overview of the Information Resource Dictionary System (second edition) / , NBSIR;  88-3700. , https://doi.org/10.6028/NBS.IR.88-3700 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7355010ec1396439eff98483385b0de9/pdf/GOVPUB-C13-7355010ec1396439eff98483385b0de9.pdf https://purl.fdlp.gov/GPO/gpo99311
001069290,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032493, 0247-D (online), C 13.58:88-3701, Using the Information Resource Dictionary System Command Language (second edition) / , NBSIR;  88-3701. , https://doi.org/10.6028/NBS.IR.88-3701 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d30c8840ee0e1c0f3e363a6bf2e7a186/pdf/GOVPUB-C13-d30c8840ee0e1c0f3e363a6bf2e7a186.pdf https://purl.fdlp.gov/GPO/gpo103327
001069291,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032494, 0247-D (online), C 13.58:88-3702, Epoxy impregnation procedure for hardened cement samples / , NBSIR;  88-3702. , https://doi.org/10.6028/NBS.IR.88-3702 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9625cab0c7924856b81732cf34d87df6/pdf/GOVPUB-C13-9625cab0c7924856b81732cf34d87df6.pdf https://purl.fdlp.gov/GPO/gpo100875
001069292,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032495, 0247-D (online), C 13.58:88-3703, Wind and seismic effects :  proceedings of the 19th joint meeting of the U.S.-Japan Cooperative Program in Natural Resources Panel on Wind and Seismic Effects /, NBSIR;  88-3703. , https://doi.org/10.6028/NBS.IR.88-3703 https://www.govinfo.gov/content/pkg/GOVPUB-C13-85f9ec40be9915fd2ba81c392b251b7f/pdf/GOVPUB-C13-85f9ec40be9915fd2ba81c392b251b7f.pdf https://purl.fdlp.gov/GPO/gpo100245
001069293,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032704, 0247-D (online), C 13.58:88-3706, Advanced ceramics :  a critical assessment of database needs for the natural gas industry /, NBSIR;  88-3706. , https://doi.org/10.6028/NBS.IR.88-3706 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e660467382d895b702b9de1d28a29323/pdf/GOVPUB-C13-e660467382d895b702b9de1d28a29323.pdf https://purl.fdlp.gov/GPO/gpo104406
001069294,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032705, 0247-D (online), C 13.58:88-3707, Prediction of response time of smoke detectors in enclosure fires / , NBSIR;  88-3707. , https://doi.org/10.6028/NBS.IR.88-3707 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3f2f49f26845df6139481a9dce08a5d7/pdf/GOVPUB-C13-3f2f49f26845df6139481a9dce08a5d7.pdf https://purl.fdlp.gov/GPO/gpo97048
001069295,160705s1986\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032723, 0247-D (online), C 13.58:86-3322," A vortex-induced, gas-liquid separation in a cylindrical tank at zero gravity / ", NBSIR;  86-3322. , https://doi.org/10.6028/NBS.IR.86-3322 https://www.govinfo.gov/content/pkg/GOVPUB-C13-874daac42776ff1c9754b8f815d8e21c/pdf/GOVPUB-C13-874daac42776ff1c9754b8f815d8e21c.pdf https://purl.fdlp.gov/GPO/gpo100282
001069296,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032725, 0247-D (online), C 13.58:88-3730, Certification of NBS SRM 1691 :  0.3-[mu]m-diameter polystyrene spheres /, NBSIR;  88-3730. , https://doi.org/10.6028/NBS.IR.88-3730 https://www.govinfo.gov/content/pkg/GOVPUB-C13-931ff4dd3b241cb82cd5a0e2d224bbf2/pdf/GOVPUB-C13-931ff4dd3b241cb82cd5a0e2d224bbf2.pdf https://purl.fdlp.gov/GPO/gpo100742
001069297,160620s1987\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907148, 0247-D (online), C 13.58:86-3503, Hierarchical control and real-time optimization in automated manufacturing systems / , NBSIR;  86-3503. , https://doi.org/10.6028/NBS.IR.86-3503 https://www.govinfo.gov/content/pkg/GOVPUB-C13-79677d406c91ea13f0b0d14e99b5f906/pdf/GOVPUB-C13-79677d406c91ea13f0b0d14e99b5f906.pdf https://purl.fdlp.gov/GPO/gpo99574
001069298,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032726, 0247-D (online), C 13.58:88-3793-1, A summary of the new European community approach to standards development / , NBSIR;  88-3793-1. , https://doi.org/10.6028/NBS.IR.88-3793-1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1a6a7fba6d27f126139bf4b668c56423/pdf/GOVPUB-C13-1a6a7fba6d27f126139bf4b668c56423.pdf https://purl.fdlp.gov/GPO/gpo95498
001069299,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032751, 0247-D (online), C 13.58:88-3789, Cell controller operations manual / , NBSIR;  88-3789. , https://doi.org/10.6028/NBS.IR.88-3789 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ecd8a03522c2c2e4eba4f04df941272d/pdf/GOVPUB-C13-ecd8a03522c2c2e4eba4f04df941272d.pdf https://purl.fdlp.gov/GPO/gpo104663
001069300,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032753, 0247-D (online), C 13.58:88-3795, Benchmarks to supplant export FPDR calculations / , NBSIR;  88-3795. , https://doi.org/10.6028/NBS.IR.88-3795 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4d407ce77322597f909c41d031339ad0/pdf/GOVPUB-C13-4d407ce77322597f909c41d031339ad0.pdf https://purl.fdlp.gov/GPO/gpo97703
001069301,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032798, 0247-D (online), C 13.58:88-3790, Electrochemical evaluation of solid state pH sensors for nuclear waste containment / , NBSIR;  88-3790. , https://doi.org/10.6028/NBS.IR.88-3790 https://www.govinfo.gov/content/pkg/GOVPUB-C13-78eb56fc70a70b1a8e470df1c962d4ef/pdf/GOVPUB-C13-78eb56fc70a70b1a8e470df1c962d4ef.pdf https://purl.fdlp.gov/GPO/gpo99551
001069302,160705s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)953032799, 0247-D (online), C 13.58:88-3792," Investigation into the Ashland Oil storage tank collapse on January 2, 1988 / ", NBSIR;  88-3792. , https://doi.org/10.6028/NBS.IR.88-3792 https://www.govinfo.gov/content/pkg/GOVPUB-C13-25645b58237c77126d3ec5d78797b808/pdf/GOVPUB-C13-25645b58237c77126d3ec5d78797b808.pdf https://purl.fdlp.gov/GPO/gpo95872
001069303,160620s1986\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907149, 0247-D (online), C 13.58:87-3504, Epoxy impregnation of hardened cement pastes for characterization of microstructure / , NBSIR;  87-3504. , https://doi.org/10.6028/NBS.IR.87-3504 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0960ac65d20735756d874901eb387491/pdf/GOVPUB-C13-0960ac65d20735756d874901eb387491.pdf https://purl.fdlp.gov/GPO/gpo94772
