001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001076165,151030s1963\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169358, 0247-A (online), C 13.44:25-2, Standard x-ray diffraction powder patterns / , NBS monograph ;  25-2. , https://doi.org/10.6028/NBS.MONO.25-2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1d0acf955c8837a86c732f2ab5cb987c/pdf/GOVPUB-C13-1d0acf955c8837a86c732f2ab5cb987c.pdf https://purl.fdlp.gov/GPO/gpo95554
001076166,151030s1966\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169297, 0247-A (online), C 13.44:25-4, Standard x-ray diffraction powder patterns / , NBS monograph ;  25-4. , https://doi.org/10.6028/NBS.MONO.25-4 https://www.govinfo.gov/content/pkg/GOVPUB-C13-fc20255522d08aaf0aa308728130ac07/pdf/GOVPUB-C13-fc20255522d08aaf0aa308728130ac07.pdf https://purl.fdlp.gov/GPO/gpo105271
001076167,151030s1968\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169277, 0247-A (online), C 13.44:25-6, Standard x-ray diffraction powder patterns / , NBS monograph ;  25-6. , https://doi.org/10.6028/NBS.MONO.25-6 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c8252e3bafa680e4ae31093055ccab43/pdf/GOVPUB-C13-c8252e3bafa680e4ae31093055ccab43.pdf https://purl.fdlp.gov/GPO/gpo102896
001076169,151030s1962\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169345, 0247-A (online), C 13.44:40, Thermocouple materials / , NBS monograph ; 40 , https://doi.org/10.6028/NBS.MONO.40 https://www.govinfo.gov/content/pkg/GOVPUB-C13-138243fb443935f35a1754ef72873148/pdf/GOVPUB-C13-138243fb443935f35a1754ef72873148.pdf https://purl.fdlp.gov/GPO/gpo95225
001076170,151030s1962\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169347, 0247-A (online), C 13.44:44, Effect of exposure site on weather resistance of porcelain enamels exposed for three years / , NBS monograph ; 44 , https://doi.org/10.6028/NBS.MONO.44 https://www.govinfo.gov/content/pkg/GOVPUB-C13-68e6e36faeac6deafd45bb511d1ba384/pdf/GOVPUB-C13-68e6e36faeac6deafd45bb511d1ba384.pdf https://purl.fdlp.gov/GPO/gpo98907
001076171,151030s1962\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169348, 0247-A (online), C 13.44:51, Analysis of electric energy usage in Air Force houses equipped with air-to-air heat pumps / , NBS monograph ; 51 , https://doi.org/10.6028/NBS.MONO.51 https://www.govinfo.gov/content/pkg/GOVPUB-C13-79e26d8e0c3b0c071df9bb577ce76cf8/pdf/GOVPUB-C13-79e26d8e0c3b0c071df9bb577ce76cf8.pdf https://purl.fdlp.gov/GPO/gpo99590
001076174,151030s1962\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169350, 0247-A (online), C 13.44:56, Systems of electrical units / , NBS monograph ; 56 , https://doi.org/10.6028/NBS.MONO.56 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c64d9baee0c1f2df19e93c0fb7ba3a53/pdf/GOVPUB-C13-c64d9baee0c1f2df19e93c0fb7ba3a53.pdf https://purl.fdlp.gov/GPO/gpo102802
001076176,151030s1963\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169366, 0247-A (online), C 13.44:68, Compilation of the melting points of the metal oxides / , NBS monograph ; 68 , https://doi.org/10.6028/NBS.MONO.68 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1c8fcf0414c98155952c478362adca11/pdf/GOVPUB-C13-1c8fcf0414c98155952c478362adca11.pdf https://purl.fdlp.gov/GPO/gpo95545
001076177,151030s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169367, 0247-A (online), C 13.44:82, Microwave impedance measurements and standards / , NBS monograph ; 82 , https://doi.org/10.6028/NBS.MONO.82 https://www.govinfo.gov/content/pkg/GOVPUB-C13-94d24e3aba418ba722c6f7e5fecfc5a3/pdf/GOVPUB-C13-94d24e3aba418ba722c6f7e5fecfc5a3.pdf https://purl.fdlp.gov/GPO/gpo103622
001076178,151030s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169368, 0247-A (online), C 13.44:83, Project FIST :  fault isolatiob by semi-automatic techniques /, NBS monograph ; 83 , https://doi.org/10.6028/NBS.MONO.83 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d7bc51b7757e2b8d7aeb0cdcbe081c3d/pdf/GOVPUB-C13-d7bc51b7757e2b8d7aeb0cdcbe081c3d.pdf https://purl.fdlp.gov/GPO/gpo103526
