001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001077346,121108s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)816520874, 0249-A (online), C 13.46:1765, Prototype residential building designs for energy and sustainability assessment / , NIST technical note ; 1765 , https://doi.org/10.6028/NIST.TN.1765 https://www.govinfo.gov/content/pkg/GOVPUB-C13-90bbd952316e26a35fdd20a293cb015c/pdf/GOVPUB-C13-90bbd952316e26a35fdd20a293cb015c.pdf https://purl.fdlp.gov/GPO/gpo100646
001077347,121108s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)816519340, 0249-A (online), C 13.46:1767, Annual whole building energy simulation of the NIST net zero energy residential test facility design / , NIST technical note ; 1767 , https://doi.org/10.6028/NIST.TN.1767 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f4f999d8a40cc5393725f4a62fe73ec0/pdf/GOVPUB-C13-f4f999d8a40cc5393725f4a62fe73ec0.pdf https://purl.fdlp.gov/GPO/gpo104979
001077348,121220s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)822231594, 0249-A (online), C 13.46:1777, Design and usage guide for version 0.92 of the Quality Information Framework Data Model and XML (Extensible Markup Language) schemas / , NIST technical note ; 1777 , https://doi.org/10.6028/NIST.TN.1777 https://www.govinfo.gov/content/pkg/GOVPUB-C13-dc8e7da8cbff71fe82548790edb49e6b/pdf/GOVPUB-C13-dc8e7da8cbff71fe82548790edb49e6b.pdf https://purl.fdlp.gov/GPO/gpo103965
001077349,130111s2010\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)823929977, 0249-A (online), C 13.46:1669, An experimental and computational study of steel moment connections under a column removal scenario / , NIST technical note ; 1669 , https://doi.org/10.6028/NIST.TN.1669 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8368dd94f10ae89f5b06e617dd2c3cfa/pdf/GOVPUB-C13-8368dd94f10ae89f5b06e617dd2c3cfa.pdf https://purl.fdlp.gov/GPO/gpo99956
001077350,130111s2010\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)823930909, 0249-A (online), C 13.46:1681, Best practice guidelines for structural fire resistance design of concrete and steel buildings / , NIST technical note ; 1681 , https://doi.org/10.6028/NIST.TN.1681 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1ea328f777c83769381b1581a6eaea83/pdf/GOVPUB-C13-1ea328f777c83769381b1581a6eaea83.pdf https://purl.fdlp.gov/GPO/gpo95598
001077351,130111s2011\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)823931348, 0249-A (online), C 13.46:1720, An experimental and computational study of reinforced concrete assemblies under a column removal scenario / , NIST technical note ; 1720 , https://doi.org/10.6028/NIST.TN.1720 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7dee4e498e26812941493151942bc994/pdf/GOVPUB-C13-7dee4e498e26812941493151942bc994.pdf https://purl.fdlp.gov/GPO/gpo99737
001077352,130111s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)823937509, 0249-A (online), C 13.46:1778, Exposing Wood Decking Assemblies to Continuous Wind-Driven Firebrand Showers / , NIST technical note ; 1778 , https://doi.org/10.6028/NIST.TN.1778 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9e0cda975a884daa12eca2e708bcf4b1/pdf/GOVPUB-C13-9e0cda975a884daa12eca2e708bcf4b1.pdf https://purl.fdlp.gov/GPO/gpo103652
001077353,130207s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)826902600, 0249-A (online), C 13.46:1783, Measurement science needs for the expanded use of green concrete :  workshop summary report /, NIST technical note ; 1783 , https://doi.org/10.6028/NIST.TN.1783 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c74918eb627991f56920a7cbc6812e6b/pdf/GOVPUB-C13-c74918eb627991f56920a7cbc6812e6b.pdf https://purl.fdlp.gov/GPO/gpo102846
001077354,130207s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)826902602, 0249-A (online), C 13.46:1784, Smoke alarm performance in kitchen fires and nuisance alarm scenarios : / , NIST technical note ; 1784 , https://doi.org/10.6028/NIST.TN.1784 https://www.govinfo.gov/content/pkg/GOVPUB-C13-22e33dd96f8402abbbac1da510c8b4b6/pdf/GOVPUB-C13-22e33dd96f8402abbbac1da510c8b4b6.pdf https://purl.fdlp.gov/GPO/gpo95823
001077355,130219s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828028619, 0249-A (online), C 13.46:1779, General Guidance on Emergency Communication Strategies for Buildings : / , NIST technical note ; 1779 , https://doi.org/10.6028/NIST.TN.1779 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c2cc1f9111d14832de087fdb9f5bd85f/pdf/GOVPUB-C13-c2cc1f9111d14832de087fdb9f5bd85f.pdf https://purl.fdlp.gov/GPO/gpo102665
