001,008,035$a,074$a,086$a,245,830,856$u
"001116369","100625s1967\\\\dcu\\\\\ob\\\\000\0\eng\d","(OCoLC)643559126","0247 (online)","C 13.10:281","Bibliography on flame spectroscopy :analytical applications 1800-1966 /compiled by R. Mavrodineanu.","National Bureau of Standards miscellaneous publication ;281.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-0889f3630d64d4699f5567e15405559d/pdf/GOVPUB-C13-0889f3630d64d4699f5567e15405559d.pdf;https://purl.fdlp.gov/GPO/gpo94748"
"001116372","101215s1967\\\\dcua\\\\ob\\\\000\0\eng\d","(OCoLC)693053667","0247 (online)","C 13.10:285","Nuclear science and technology for ceramistsproceedings of a symposium, April 7-12, 1966.","National Bureau of Standards miscellaneous publication ;285.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-19333273bd60e5bb563d19cb62009cf4/pdf/GOVPUB-C13-19333273bd60e5bb563d19cb62009cf4.pdf;https://purl.fdlp.gov/GPO/gpo95474"
"001116373","110929s1965\\\\dcua\\\\ob\\\f100\0\eng\d","(OCoLC)755136334","0247 (online)","C 13.10:267","Systems engineering in ceramicsproceedings of a symposium, April 19, 1964.","National Bureau of Standards miscellaneous publication ;267.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-50c4524ed18c14abceedae2a0c77af6a/pdf/GOVPUB-C13-50c4524ed18c14abceedae2a0c77af6a.pdf;https://purl.fdlp.gov/GPO/gpo97846"
"001116378","111115s1966\\\\dcu\\\\\ob\\\\100\0\eng\d","(OCoLC)761470219","0247 (online)","C 13.10:287","Calculation of the properties of vacancies and interstitialsproceedings.","National Bureau of Standards miscellaneous publication ;287.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-f585939115cb07c60c529db385a90f09/pdf/GOVPUB-C13-f585939115cb07c60c529db385a90f09.pdf;https://purl.fdlp.gov/GPO/gpo105006"
"001116380","120408s1964\\\\dcua\\\\ob\\\f100\0\eng\d","(OCoLC)784826241","0247 (online)","C 13.10:257","Microstructure of ceramic materialsproceedings of a symposium, April 27-28, 1963.","National Bureau of Standards miscellaneous publication ;257.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-5b8aa76e142915421d33dc5e56b76070/pdf/GOVPUB-C13-5b8aa76e142915421d33dc5e56b76070.pdf;https://purl.fdlp.gov/GPO/gpo100003"
"001116382","120518s1963\\\\dcu\\\\\ob\\\f000\0\eng\d","(OCoLC)793934523","0247 (online)","C 13.10:252","Survey of literature on the safety of residential chimneys and fireplaces.","National Bureau of Standards miscellaneous publication ;252.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-cbacbbec107457aa89abe5f6b1e8f8fc/pdf/GOVPUB-C13-cbacbbec107457aa89abe5f6b1e8f8fc.pdf;https://purl.fdlp.gov/GPO/gpo103042"
"001116383","120518s1965\\\\dcu\\\\\oi\\\f000\0\eng\d","(OCoLC)793934632","0247 (online)","C 13.10:271","Guide to instrumentation literature[by] Julian F. Smith and W.G. Brombacher.","National Bureau of Standards miscellaneous publication ;271.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-a3e851ce8c9e110029dbec13d5af6ca3/pdf/GOVPUB-C13-a3e851ce8c9e110029dbec13d5af6ca3.pdf;https://purl.fdlp.gov/GPO/gpo101392"
"001116384","120518s1967\\\\dcu\\\\\ob\\\f000\0\eng\d","(OCoLC)793934908","0247 (online)","C 13.10:292","Bibliography of Liesegang rings[by Kurt H. Stern].","National Bureau of Standards miscellaneous publication ;292.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-3232039058a0db13e5cdc18dc223b008/pdf/GOVPUB-C13-3232039058a0db13e5cdc18dc223b008.pdf;https://purl.fdlp.gov/GPO/gpo96502"
"001116387","130517s1964\\\\dcu\\\\\o\\\\f000\0\eng\d","(OCoLC)843517373","0247 (online)","C 13.10:259","Selection of camera filters for color photography /[prepared by C.S. McCamy].","National Bureau of Standards miscellaneous publication ;259.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-685868df55ed7fa243e89dd667a9888b/pdf/GOVPUB-C13-685868df55ed7fa243e89dd667a9888b.pdf;https://purl.fdlp.gov/GPO/gpo100004"
"001116388","130517s1963\\\\dcua\\\\ob\\\f100\0\eng\d","(OCoLC)843517381","0247 (online)","C 13.10:248","Proceedings of the 1962 Standards Laboratory Conference /presented by the National Conference of Standards Laboratories, August 8, 9, 10, 1962, National Bureau of Standards, Boulder Laboratories, Boulder, Colorado.","National Bureau of Standards miscellaneous publication ;248.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-443e9321722406b3b0a0791ed7787cca/pdf/GOVPUB-C13-443e9321722406b3b0a0791ed7787cca.pdf;https://purl.fdlp.gov/GPO/gpo97450"
"001116392","130713s1949\\\\dcua\\\\ob\\\f000\0\eng\d","(OCoLC)852766868","0247 (online)","C 13.10:193","Laboratory and service tests of hand luggage /by Edward T. Steiner, Robert B. Hobbs and Elizabeth R. Hosterman.","National Bureau of Standards miscellaneous publication ;193.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-2c0008c53e83a72df10dfd9b3bf2f1b8/pdf/GOVPUB-C13-2c0008c53e83a72df10dfd9b3bf2f1b8.pdf;https://purl.fdlp.gov/GPO/gpo96373"
"001116393","130713s1948\\\\dcua\\\\ob\\\f100\0\eng\d","(OCoLC)852766873","0247 (online)","C 13.10:192","New advances in printed circuits :proceedings of the First Technical Symposium on Printed Circuits held October 15, 1947, in Washington, D.C., under the sponsorship of the Aeronautical Board and technical direction of the National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;192.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-ca97235cdcd4a4bcd6026d01da1df64e/pdf/GOVPUB-C13-ca97235cdcd4a4bcd6026d01da1df64e.pdf;https://purl.fdlp.gov/GPO/gpo102990"
"001116394","130713s1947\\\\dcu\\\\\ob\\\f000\0\eng\d","(OCoLC)852766878","0247 (online)","C 13.10:185","Rubber research and technology at the National Bureau of Standards /by Lawrence A. Wood.","National Bureau of Standards miscellaneous publication ;185.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-8b1b32a3f1526eebf07bca6a45affbd4/pdf/GOVPUB-C13-8b1b32a3f1526eebf07bca6a45affbd4.pdf;https://purl.fdlp.gov/GPO/gpo100419"
"001116407","130713s1960\\\\dcu\\\\\or\\\f001\0\eng\d","(OCoLC)852766949","0247 (online)","C 13.10:230","Standardization activities in the United Statesa descriptive directory.","National Bureau of Standards miscellaneous publication ;230.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-870e8763cae1a35f1fa3ebd7147cab38/pdf/GOVPUB-C13-870e8763cae1a35f1fa3ebd7147cab38.pdf;https://purl.fdlp.gov/GPO/gpo100276"
"001116409","130713s1946\\\\dcua\\\\ob\\\f000\0\eng\d","(OCoLC)852766959","0247 (online)","C 13.10:182","Development of standards for flexible caselining materialsby Bourdon W. Scribner, Frederick T. Carson, and Charles G. Weber. Issued September 23, 1946.","National Bureau of Standards miscellaneous publication ;182.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-fa766f6d79edb8f77a55ee3d042b2ca0/pdf/GOVPUB-C13-fa766f6d79edb8f77a55ee3d042b2ca0.pdf;https://purl.fdlp.gov/GPO/gpo105206"
"001116413","140730s1964\\\\dcua\\\\ob\\\f100\0\engsd","(OCoLC)885061001","0247 (online)","C 13.10:256","Ellipsometry in the measurement of surfaces and thin filmssymposium proceedings.","National Bureau of Standards miscellaneous publication ;256.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-ec27e7def6e3a080a94f6189dec5c769/pdf/GOVPUB-C13-ec27e7def6e3a080a94f6189dec5c769.pdf;https://purl.fdlp.gov/GPO/gpo104633"
"001116423","140803s1947\\\\dcu\\\\\or\\\f000\0\eng\d","(OCoLC)885175141","0247 (online)","C 13.10:187","Directory of commercial and college laboratories :issued August 30, 1947 /compiled by Ann E. Rapuzzi.","National Bureau of Standards miscellaneous publication ;187.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-956d3990e1ec04223e76fd19bc70c8af/pdf/GOVPUB-C13-956d3990e1ec04223e76fd19bc70c8af.pdf;https://purl.fdlp.gov/GPO/gpo100840"
"001116424","140803s1948\\\\dcua\\\\ob\\\f000\0\eng\d","(OCoLC)885175142","0247 (online)","C 13.10:188","Microbiological deterioration of organic materialsits prevention and methods of test.","National Bureau of Standards miscellaneous publication ;188.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-b70ce37c7749c7a1a7ab0a4baad8840b/pdf/GOVPUB-C13-b70ce37c7749c7a1a7ab0a4baad8840b.pdf;https://purl.fdlp.gov/GPO/gpo102171"
"001116425","140921s1962\\\\dcuao\\\obc\\f000\0\eng\d","(OCoLC)891014336","0247 (online)","C 13.10:241","Standard materials issued by the National Bureau of Standards :a descriptive list with prices.","National Bureau of Standards miscellaneous publication ;241.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-56dc77987e0eb6c997d7f77c0b00d533/pdf/GOVPUB-C13-56dc77987e0eb6c997d7f77c0b00d533.pdf;https://purl.fdlp.gov/GPO/gpo98065"
"001116429","180511s1967\\\\dcu\\\\\o\\\\\100\0\eng\d","(OCoLC)1035555758","0247 (online)","C 13.10:291","Proceedings of the 1966 standards laboratory conference presented ...[electronic resource] :May 9-12, 1966, National Bureau of Standards ... Washington /[foreword by A.V. Astin].","National Bureau of Standards miscellaneous publication ;291.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-6adfa9301639f3bb41449f2bc208d747/pdf/GOVPUB-C13-6adfa9301639f3bb41449f2bc208d747.pdf;https://purl.fdlp.gov/GPO/gpo98976"
