001,008,035$a,074$a,086$a,245,830,856$u
"001074123","151026s1959\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731818","0247 (online)","C 13.10:227","Hydraulic research in the United States 1959 /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;227.","https://doi.org/10.6028/NBS.MP.227;https://www.govinfo.gov/content/pkg/GOVPUB-C13-15ddb67983ac49378609b85a0dd46342/pdf/GOVPUB-C13-15ddb67983ac49378609b85a0dd46342.pdf;https://purl.fdlp.gov/GPO/gpo95285"
"001074124","151026s1960\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731784","0247 (online)","C 13.10:231","Hydraulic research in the United States 1960 /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;231.","https://doi.org/10.6028/NBS.MP.231;https://www.govinfo.gov/content/pkg/GOVPUB-C13-9daa0973f4a64ad045dc5093b0d5ff91/pdf/GOVPUB-C13-9daa0973f4a64ad045dc5093b0d5ff91.pdf;https://purl.fdlp.gov/GPO/gpo101152"
"001074125","151026s1961\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731820","0247 (online)","C 13.10:238","Hydraulic research in the United States 1961 /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;238.","https://doi.org/10.6028/NBS.MP.238;https://www.govinfo.gov/content/pkg/GOVPUB-C13-5ac869558f7d6d4e1b588f58b69b4c22/pdf/GOVPUB-C13-5ac869558f7d6d4e1b588f58b69b4c22.pdf;https://purl.fdlp.gov/GPO/gpo98345"
"001074126","151026s1962\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731726","0247 (online)","C 13.10:245","Hydraulic research in the United States 1962 /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;245.","https://doi.org/10.6028/NBS.MP.245;https://www.govinfo.gov/content/pkg/GOVPUB-C13-8b41647654b5aa0fe57a0c68b329bd95/pdf/GOVPUB-C13-8b41647654b5aa0fe57a0c68b329bd95.pdf;https://purl.fdlp.gov/GPO/gpo100431"
"001074127","151026s1963\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731810","0247 (online)","C 13.10:249","Hydraulic research in the United States 1963 /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;249.","https://doi.org/10.6028/NBS.MP.249;https://www.govinfo.gov/content/pkg/GOVPUB-C13-a98caf02c23eb7c35af3a578ecafd0ff/pdf/GOVPUB-C13-a98caf02c23eb7c35af3a578ecafd0ff.pdf;https://purl.fdlp.gov/GPO/gpo101633"
"001074128","151026s1964\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731738","0247 (online)","C 13.10:261","Hydraulic research in the United States 1964 /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;261.","https://doi.org/10.6028/NBS.MP.261;https://www.govinfo.gov/content/pkg/GOVPUB-C13-c2146fa3494f0ac69a582c184a2e1aae/pdf/GOVPUB-C13-c2146fa3494f0ac69a582c184a2e1aae.pdf;https://purl.fdlp.gov/GPO/gpo102638"
"001074129","151026s1965\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731727","0247 (online)","C 13.10:270","Hydraulic research in the United States 1965 /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;270.","https://doi.org/10.6028/NBS.MP.270;https://www.govinfo.gov/content/pkg/GOVPUB-C13-18cda48cc9c2680fbfc00bd6e7a549e2/pdf/GOVPUB-C13-18cda48cc9c2680fbfc00bd6e7a549e2.pdf;https://purl.fdlp.gov/GPO/gpo95464"
"001074130","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731728","0247 (online)","C 13.10:240-2","Publications of the National Bureau of Standards Supplement of MP240 /Betty L. Oberholtzer.","National Bureau of Standards miscellaneous publication ;240-2.","https://doi.org/10.6028/NBS.MP.240-2;https://www.govinfo.gov/content/pkg/GOVPUB-C13-7049c1f2c96aea4c5abcfa0b8fea0b42/pdf/GOVPUB-C13-7049c1f2c96aea4c5abcfa0b8fea0b42.pdf;https://purl.fdlp.gov/GPO/gpo99201"
"001074150","151026s1958\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731842","0247 (online)","C 13.10:226","Research highlights of the National Bureau of Standards :annual report, fiscal year 1958 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;226.","https://doi.org/10.6028/NBS.MP.226;https://www.govinfo.gov/content/pkg/GOVPUB-C13-47f2a5c7c234091b72a0ad68a72b4252/pdf/GOVPUB-C13-47f2a5c7c234091b72a0ad68a72b4252.pdf;https://purl.fdlp.gov/GPO/gpo98167"
"001074151","151026s1959\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731843","0247 (online)","C 13.10:229","1959 Research Highlights of the National Bureau of Standards :annual Report, Fiscal Year 1959 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;229.","https://doi.org/10.6028/NBS.MP.229;https://www.govinfo.gov/content/pkg/GOVPUB-C13-a3efd590fabdf987b649b29722aa4bbe/pdf/GOVPUB-C13-a3efd590fabdf987b649b29722aa4bbe.pdf;https://purl.fdlp.gov/GPO/gpo101395"
"001074152","151026s1960\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731881","0247 (online)","C 13.10:237","Research Highlights of the National Bureau of Standards :annual Report, Fiscal Year 1960 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;237.","https://doi.org/10.6028/NBS.MP.237;https://www.govinfo.gov/content/pkg/GOVPUB-C13-7e54e4a5fe69a2e103716130d8dc8aed/pdf/GOVPUB-C13-7e54e4a5fe69a2e103716130d8dc8aed.pdf;https://purl.fdlp.gov/GPO/gpo99754"
"001074153","151026s1961\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731923","0247 (online)","C 13.10:242","1961 Research highlights of the National Bureau of Standards :annual report, fiscal year 1961 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;242.","https://doi.org/10.6028/NBS.MP.242;https://www.govinfo.gov/content/pkg/GOVPUB-C13-e50f4dec53fc066584c62878f03808f4/pdf/GOVPUB-C13-e50f4dec53fc066584c62878f03808f4.pdf;https://purl.fdlp.gov/GPO/gpo104344"
"001074154","151026s1962\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731882","0247 (online)","C 13.10:246","1962 Research highlights of the National Bureau of Standards :annual report, fiscal year 1962 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;246.","https://doi.org/10.6028/NBS.MP.246;https://www.govinfo.gov/content/pkg/GOVPUB-C13-767c402cd692f60c5f63e44891821168/pdf/GOVPUB-C13-767c402cd692f60c5f63e44891821168.pdf;https://purl.fdlp.gov/GPO/gpo99445"
"001074155","151026s1963\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731883","0247 (online)","C 13.10:255","1963 Research highlights of the National Bureau of Standards :annual report, fiscal year 1963 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;255.","https://doi.org/10.6028/NBS.MP.255;https://www.govinfo.gov/content/pkg/GOVPUB-C13-daaa8e8e414a51b481ac1395f0f356d5/pdf/GOVPUB-C13-daaa8e8e414a51b481ac1395f0f356d5.pdf;https://purl.fdlp.gov/GPO/gpo103854"
"001074156","151026s1964\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731884","0247 (online)","C 13.10:264","1964 Technical highlights of the National Bureau of Standards :annual report, fiscal year 1964 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;264.","https://doi.org/10.6028/NBS.MP.264;https://www.govinfo.gov/content/pkg/GOVPUB-C13-245c26d803e16ab65e5b59991f9ce06b/pdf/GOVPUB-C13-245c26d803e16ab65e5b59991f9ce06b.pdf;https://purl.fdlp.gov/GPO/gpo95852"
"001074157","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731942","0247 (online)","C 13.10:279","1965 Technical highlights of the National Bureau of Standards :annual report, fiscal year 1965 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;279.","https://doi.org/10.6028/NBS.MP.279;https://www.govinfo.gov/content/pkg/GOVPUB-C13-2fb0a4c70e6d3654665a299310601595/pdf/GOVPUB-C13-2fb0a4c70e6d3654665a299310601595.pdf;https://purl.fdlp.gov/GPO/gpo96436"
"001074158","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731943","0247 (online)","C 13.10:283","1966 Technical highlights of the National Bureau of Standards :annual report, fiscal year 1966 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;283.","https://doi.org/10.6028/NBS.MP.283;https://www.govinfo.gov/content/pkg/GOVPUB-C13-0282e1c73f8d4528209cf1fc0129d2fd/pdf/GOVPUB-C13-0282e1c73f8d4528209cf1fc0129d2fd.pdf;https://purl.fdlp.gov/GPO/gpo94538"
"001074159","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731896","0247 (online)","C 13.10:293","1967 Technical highlights of the National Bureau of Standards :annual report, fiscal year 1967 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;293.","https://doi.org/10.6028/NBS.MP.293;https://www.govinfo.gov/content/pkg/GOVPUB-C13-4e5770400e63fd581388492c3c4d8d12/pdf/GOVPUB-C13-4e5770400e63fd581388492c3c4d8d12.pdf;https://purl.fdlp.gov/GPO/gpo97747"
"001074160","151026s1962\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731977","0247 (online)","C 13.10:243","Index to the reports of the National Conference on Weights and Measures :from the first to the forty-fifth 1905 to 1960 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;243.","https://doi.org/10.6028/NBS.MP.243;https://www.govinfo.gov/content/pkg/GOVPUB-C13-a4b3b46abe785348cbda756681baddee/pdf/GOVPUB-C13-a4b3b46abe785348cbda756681baddee.pdf;https://purl.fdlp.gov/GPO/gpo101425"
"001074161","151026s1957\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731786","0247 (online)","C 13.10:223","Annual report 1957 National Bureau of Standards :issued for fiscal year 1957 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;223.","https://doi.org/10.6028/NBS.MP.223;https://www.govinfo.gov/content/pkg/GOVPUB-C13-bb1ea235e625d9f6310a40138fd5cad3/pdf/GOVPUB-C13-bb1ea235e625d9f6310a40138fd5cad3.pdf;https://purl.fdlp.gov/GPO/gpo102327"
"001074162","151026s1954\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731868","0247 (online)","C 13.10:213","Biennial report :National Bureau of Standards /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;213.","https://doi.org/10.6028/NBS.MP.213;https://www.govinfo.gov/content/pkg/GOVPUB-C13-e9a6d4a032c4fb1d9af429f4b80881a1/pdf/GOVPUB-C13-e9a6d4a032c4fb1d9af429f4b80881a1.pdf;https://purl.fdlp.gov/GPO/gpo104524"
"001074276","151026s1947\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732392","0247 (online)","C 13.10:183","Temperature interconversion tables (°Cp6(""Sb0p6(""Sb2s°F) and melting points of the chemical elements /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;183.","https://doi.org/10.6028/NBS.MP.183;https://www.govinfo.gov/content/pkg/GOVPUB-C13-c9027b5c0ca53c6d2f7131f2c3b6b3e8/pdf/GOVPUB-C13-c9027b5c0ca53c6d2f7131f2c3b6b3e8.pdf;https://purl.fdlp.gov/GPO/gpo102926"
"001074277","151026s1947\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732393","0247 (online)","C 13.10:186","Report of the thirty-second national conference on weights and measures /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;186.","https://doi.org/10.6028/NBS.MP.186;https://www.govinfo.gov/content/pkg/GOVPUB-C13-00d31be32da62691c749d14299829817/pdf/GOVPUB-C13-00d31be32da62691c749d14299829817.pdf;https://purl.fdlp.gov/GPO/gpo94482"
"001074279","151026s1948\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732395","0247 (online)","C 13.10:189","Report of the thirty-third national conference on weights and measures /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;189.","https://doi.org/10.6028/NBS.MP.189;https://www.govinfo.gov/content/pkg/GOVPUB-C13-5e00be081eaef345aaf93fb4446a6208/pdf/GOVPUB-C13-5e00be081eaef345aaf93fb4446a6208.pdf;https://purl.fdlp.gov/GPO/gpo100017"
"001074280","151026s1948\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732389","0247 (online)","C 13.10:190","Map of standard time zones of the United States and adjacent parts of Canada and Mexico as of January 1, 1948 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;190.","https://doi.org/10.6028/NBS.MP.190;https://www.govinfo.gov/content/pkg/GOVPUB-C13-ae15f59550f2cce616c3bbda37859cb1/pdf/GOVPUB-C13-ae15f59550f2cce616c3bbda37859cb1.pdf;https://purl.fdlp.gov/GPO/gpo101805"
