001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001079123,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883924, 0244 (online), C 13.27:38, Mortar and brick properties and their relation to bond / , Technical information on building materials; 38 , https://doi.org/10.6028/NBS.TIBM.38 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b5d8a21083ed5142a213891fa455e919/pdf/GOVPUB-C13-b5d8a21083ed5142a213891fa455e919.pdf https://purl.fdlp.gov/GPO/gpo102116
001079124,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883925, 0244 (online), C 13.27:39, Types of decks adapted to bituminous built-up roofing / , Technical information on building materials; 39 , https://doi.org/10.6028/NBS.TIBM.39 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1fda21b57b170474ee38874ca76aedc3/pdf/GOVPUB-C13-1fda21b57b170474ee38874ca76aedc3.pdf https://purl.fdlp.gov/GPO/gpo95628
001079125,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883932, 0244 (online), C 13.27:34," Federal specification ready-mixed paints, semipaste paints and mixing formulas / ", Technical information on building materials; 34 , https://doi.org/10.6028/NBS.TIBM.34 https://www.govinfo.gov/content/pkg/GOVPUB-C13-cb7298baa325297ff5d47d44e4f1bd59/pdf/GOVPUB-C13-cb7298baa325297ff5d47d44e4f1bd59.pdf https://purl.fdlp.gov/GPO/gpo103033
001079126,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883933, 0244 (online), C 13.27:35, Preparation of paints from paste and dry pigments / , Technical information on building materials; 35 , https://doi.org/10.6028/NBS.TIBM.35 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0ea50402b5eeec2353b43755f9aaf34a/pdf/GOVPUB-C13-0ea50402b5eeec2353b43755f9aaf34a.pdf https://purl.fdlp.gov/GPO/gpo95016
001079127,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883934, 0244 (online), C 13.27:36," Preparation of paints from semipaste paints, thinning ready-mixed paints, and preparation of water paints / ", Technical information on building materials; 36 , https://doi.org/10.6028/NBS.TIBM.36 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3523f957fad4f8f648c6af84cdc15cf6/pdf/GOVPUB-C13-3523f957fad4f8f648c6af84cdc15cf6.pdf https://purl.fdlp.gov/GPO/gpo96598
001079128,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883944, 0244 (online), C 13.27:19, Investigations of Portland cement stucco construction / , Technical information on building materials; 19 , https://doi.org/10.6028/NBS.TIBM.19 https://www.govinfo.gov/content/pkg/GOVPUB-C13-98fd3c947514e020ce22225e9dc81490/pdf/GOVPUB-C13-98fd3c947514e020ce22225e9dc81490.pdf https://purl.fdlp.gov/GPO/gpo100983
001079129,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883951, 0244 (online), C 13.27:24, Plastic caulking and pointing materials - part I / , Technical information on building materials; 24 , https://doi.org/10.6028/NBS.TIBM.24 https://www.govinfo.gov/content/pkg/GOVPUB-C13-741352668fc1cd0ce4166150aa8e4272/pdf/GOVPUB-C13-741352668fc1cd0ce4166150aa8e4272.pdf https://purl.fdlp.gov/GPO/gpo99339
001079130,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883952, 0244 (online), C 13.27:25, Wall plaster bases and furring / , Technical information on building materials; 25 , https://doi.org/10.6028/NBS.TIBM.25 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5b95fa78a0dd0ddd9db1a4e252c56cd0/pdf/GOVPUB-C13-5b95fa78a0dd0ddd9db1a4e252c56cd0.pdf https://purl.fdlp.gov/GPO/gpo98383
001079131,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883953, 0244 (online), C 13.27:26," Wall plaster, mixing, and application / ", Technical information on building materials; 26 , https://doi.org/10.6028/NBS.TIBM.26 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8ced1d8764d138ea37cb47a41643d729/pdf/GOVPUB-C13-8ced1d8764d138ea37cb47a41643d729.pdf https://purl.fdlp.gov/GPO/gpo100500
001079132,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883954, 0244 (online), C 13.27:27, The hardened wall plaster / , Technical information on building materials; 27 , https://doi.org/10.6028/NBS.TIBM.27 https://www.govinfo.gov/content/pkg/GOVPUB-C13-eb269bdf0fd19645d8b36a6f0a2ca8c7/pdf/GOVPUB-C13-eb269bdf0fd19645d8b36a6f0a2ca8c7.pdf https://purl.fdlp.gov/GPO/gpo104587
001079133,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883955, 0244 (online), C 13.27:28, Painting of ferrous metals / , Technical information on building materials; 28 , https://doi.org/10.6028/NBS.TIBM.28 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b2f3d4906eaeb63e7d4df07c2809b983/pdf/GOVPUB-C13-b2f3d4906eaeb63e7d4df07c2809b983.pdf https://purl.fdlp.gov/GPO/gpo101993
001079134,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883968, 0244 (online), C 13.27:29, Corrosion of ferrous metals underground / , Technical information on building materials; 29 , https://doi.org/10.6028/NBS.TIBM.29 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3c5a86539c4f8e9bfa27c482808d08f3/pdf/GOVPUB-C13-3c5a86539c4f8e9bfa27c482808d08f3.pdf https://purl.fdlp.gov/GPO/gpo97353
001079135,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883970, 0244 (online), C 13.27:30, Paint pigments - white / , Technical information on building materials; 30 , https://doi.org/10.6028/NBS.TIBM.30 https://www.govinfo.gov/content/pkg/GOVPUB-C13-df487e45584ce466ccd4c8131523ddbf/pdf/GOVPUB-C13-df487e45584ce466ccd4c8131523ddbf.pdf https://purl.fdlp.gov/GPO/gpo104083
