1,8,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
1073993,130305s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828939888, 0247 (online), C 13.10:1148-4, Benefits and Costs of Energy Standard Adoption in New Commercial Buildings :  West Census Region /, NIST special publication ;  1148-4. , https://doi.org/10.6028/NIST.SP.1148-4 https://www.govinfo.gov/content/pkg/GOVPUB-C13-fb7398da45b30e6fa3bf414d1322e005/pdf/GOVPUB-C13-fb7398da45b30e6fa3bf414d1322e005.pdf https://purl.fdlp.gov/GPO/gpo105239
1073994,130328s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)833161589, 0247 (online), C 13.10:1138, Paving the way for a more sustainable concrete infrastructure :  a vision for developing a comprehensive description of cement hydration kinetics /, NIST special publication ; 1138 , https://doi.org/10.6028/NIST.SP.1138 https://www.govinfo.gov/content/pkg/GOVPUB-C13-30f08a48a65b796c75e63eeb14ed652d/pdf/GOVPUB-C13-30f08a48a65b796c75e63eeb14ed652d.pdf https://purl.fdlp.gov/GPO/gpo96794
1073995,130409s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)837375945, 0247 (online), C 13.10:1140, Strategies to achieve net-zero energy homes :  a framework for future guidelines workshop summary report /, NIST special publication ; 1140 , https://doi.org/10.6028/NIST.SP.1140 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2cffcf791f5b2bd6b488509d02f594de/pdf/GOVPUB-C13-2cffcf791f5b2bd6b488509d02f594de.pdf https://purl.fdlp.gov/GPO/gpo96392
1073996,130423s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)840506324, 0247 (online), C 13.10:1158, Greenhouse gas emissions and dispersion :  1. optimum placement of gas inlets on a building rooftop for the measurement of greenhouse gas concentration /, NIST special publication ; 1158 , https://doi.org/10.6028/NIST.SP.1158 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4b32dff5a546ec5ddfb3a720aa52684c/pdf/GOVPUB-C13-4b32dff5a546ec5ddfb3a720aa52684c.pdf https://purl.fdlp.gov/GPO/gpo97624
1073997,130426s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)840932430, 0247 (online), C 13.10:1155, Writing guidelines for requests for proposals for automated fingerprint identification systems / , NIST special publication ; 1155 , https://doi.org/10.6028/NIST.SP.1155 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e443022b91d11cd6a74f1dc6981bb619/pdf/GOVPUB-C13-e443022b91d11cd6a74f1dc6981bb619.pdf https://purl.fdlp.gov/GPO/gpo104306
1073998,130426s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)840928782, 0247 (online), C 13.10:1159, Greenhouse gas emissions and dispersion :  2. comparison of FDS predictions with gas velocity measurements in the exhaust duct of a stationary source /, NIST special publication ; 1159 , https://doi.org/10.6028/NIST.SP.1159 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e21498283b14369df87166d863cc0b97/pdf/GOVPUB-C13-e21498283b14369df87166d863cc0b97.pdf https://purl.fdlp.gov/GPO/gpo104208
1073999,130514s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)842972229, 0247 (online), C 13.10:1156, Writing guidelines to develop a memorandum of understanding for interoperable automated fingerprint identification systems / , NIST special publication ; 1156 , https://doi.org/10.6028/NIST.SP.1156 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a6813f2ee65f259a5438e70c9a4fdf90/pdf/GOVPUB-C13-a6813f2ee65f259a5438e70c9a4fdf90.pdf https://purl.fdlp.gov/GPO/gpo101503
1074000,130514s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)842972864, 0247 (online), C 13.10:1150, Wildland-urban interface fire research needs :  workshop summary report /, NIST special publication ; 1150 , https://doi.org/10.6028/NIST.SP.1150 https://www.govinfo.gov/content/pkg/GOVPUB-C13-247024b5456e008c3175e2a9bb241cab/pdf/GOVPUB-C13-247024b5456e008c3175e2a9bb241cab.pdf https://purl.fdlp.gov/GPO/gpo96020
1074001,130612s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)847743668, 0247 (online), C 13.10:1161, Benefits and costs of energy standard adoption in new commercial buildings :  national summary /, NIST special publication ; 1161 , https://doi.org/10.6028/NIST.SP.1161 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5a57e9e004d24300e35ee42864592679/pdf/GOVPUB-C13-5a57e9e004d24300e35ee42864592679.pdf https://purl.fdlp.gov/GPO/gpo98322
1074002,130725s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)853664641, 0247 (online), C 13.10:800-165, Computer security division 2012 annual report / , NIST special publication ;  800-165. , https://doi.org/10.6028/NIST.SP.800-165 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5266e04efe0d48208f417bcd6c3c3133/pdf/GOVPUB-C13-5266e04efe0d48208f417bcd6c3c3133.pdf https://purl.fdlp.gov/GPO/gpo97901
