001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001074751,151026s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740202, 0247 (online), C 13.10:260-75, Standard reference materials :  preparation and calibration of first-surface aluminum mirror specular reflectance standards/, NBS special publication ;  260-75. , https://doi.org/10.6028/NBS.SP.260-75 https://www.govinfo.gov/content/pkg/GOVPUB-C13-181ff57804e7edca3adb0df84170831a/pdf/GOVPUB-C13-181ff57804e7edca3adb0df84170831a.pdf https://purl.fdlp.gov/GPO/gpo95445
001074752,151026s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740130, 0247 (online), C 13.10:260-34," Standard reference materials :  thermoelectric voltage of silver-28 atomic percent gold therocouple wire, SRM 733, versus common thermocouple materials (between liquid helium and ice fixed points)/", NBS special publication ;  260-34. , https://doi.org/10.6028/NBS.SP.260-34 https://www.govinfo.gov/content/pkg/GOVPUB-C13-dc735ed193dc9d9f491dd0405c20fb84/pdf/GOVPUB-C13-dc735ed193dc9d9f491dd0405c20fb84.pdf https://purl.fdlp.gov/GPO/gpo103954
001074753,151026s1978\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740131, 0247 (online), C 13.10:260-59, Standard reference materials :  electron paramagnetic resonance intensity standard /, NBS special publication ;  260-59. , https://doi.org/10.6028/NBS.SP.260-59 https://www.govinfo.gov/content/pkg/GOVPUB-C13-019a52e39ecccf46ce13b99e05a5b74e/pdf/GOVPUB-C13-019a52e39ecccf46ce13b99e05a5b74e.pdf https://purl.fdlp.gov/GPO/gpo94545
001074754,151026s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740204, 0247 (online), C 13.10:260-110," Standard reference materials :  portland cement chemical composition standards (blending, packaging, and testing)/", NBS special publication ;  260-110. , https://doi.org/10.6028/NBS.SP.260-110 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d51e09997a1f3202a23716ced9f90721/pdf/GOVPUB-C13-d51e09997a1f3202a23716ced9f90721.pdf https://purl.fdlp.gov/GPO/gpo103401
001074755,151026s1984\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740223, 0247 (online), C 13.10:260-90," Standard reference materials :  update of thermal conductivity and electrical resistivity of electrolytic iron, tungsten, and stainless steel/", NBS special publication ;  260-90. , https://doi.org/10.6028/NBS.SP.260-90 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8476c611bb917728f7f6e93844b12e9c/pdf/GOVPUB-C13-8476c611bb917728f7f6e93844b12e9c.pdf https://purl.fdlp.gov/GPO/gpo100177
001074756,151026s1973\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740224, 0247 (online), C 13.10:260-32, Standard reference materials :  standard quartz cuvettes for high accuracy spectrophotometry/, NBS special publication ;  260-32. , https://doi.org/10.6028/NBS.SP.260-32 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8a43d103e0ef85f904077a8c00bc90dc/pdf/GOVPUB-C13-8a43d103e0ef85f904077a8c00bc90dc.pdf https://purl.fdlp.gov/GPO/gpo100396
001074757,151026s1971\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740225, 0247 (online), C 13.10:260-27, Standard reference materials :  uranium isotopic standard reference materials (certification of uranium isotopic standard reference materials)/, NBS special publication ;  260-27. , https://doi.org/10.6028/NBS.SP.260-27 https://www.govinfo.gov/content/pkg/GOVPUB-C13-73c083dbdc66bf57117f88d240be86df/pdf/GOVPUB-C13-73c083dbdc66bf57117f88d240be86df.pdf https://purl.fdlp.gov/GPO/gpo99323
001074758,151026s1970\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740226, 0247 (online), C 13.10:260-19, Standard reference materials :  analysis of interlaboratory measurements on the vapor pressure of gold (certification of Standard Reference Material 745)/, NBS special publication ;  260-19. , https://doi.org/10.6028/NBS.SP.260-19 https://www.govinfo.gov/content/pkg/GOVPUB-C13-966d93ce989723541165458e9a1998f7/pdf/GOVPUB-C13-966d93ce989723541165458e9a1998f7.pdf https://purl.fdlp.gov/GPO/gpo100889
001074759,151026s1971\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740150, 0247 (online), C 13.10:260-21, Standard reference materials :  analysis of interlaboratory measurements on the vapor pressures of cadmium and silver (certification of Standard Reference Materials 746 and 748)/, NBS special publication ;  260-21. , https://doi.org/10.6028/NBS.SP.260-21 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c8356a195dc1ae62765d61fbda47f4d6/pdf/GOVPUB-C13-c8356a195dc1ae62765d61fbda47f4d6.pdf https://purl.fdlp.gov/GPO/gpo102898
001074761,151026s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740157, 0247 (online), C 13.10:260-24, Standard reference materials :  comparison of redox standards/, NBS special publication ;  260-24. , https://doi.org/10.6028/NBS.SP.260-24 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5c6df8edba7f2ecaa03373a386372b72/pdf/GOVPUB-C13-5c6df8edba7f2ecaa03373a386372b72.pdf https://purl.fdlp.gov/GPO/gpo98413
