001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u, 
001116141,110523s1938\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726767123, 0241 (online), C 13.29:10," Structural properties of one of the ""Keystone Beam Steel Floor"" constructions / ", Building materials and structures report ; 10 , https://purl.fdlp.gov/GPO/gpo103669 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b3eb07c55c689852cb17ff6d3d2809c2/pdf/GOVPUB-C13-b3eb07c55c689852cb17ff6d3d2809c2.pdf,
001116142,110523s1940\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726767124, 0241 (online), C 13.29:63, Moisture condensation in building walls / , Building materials and structures report ; 63 , https://purl.fdlp.gov/GPO/gpo104775 https://www.govinfo.gov/content/pkg/GOVPUB-C13-efbc795891c57073d1360675dc664c19/pdf/GOVPUB-C13-efbc795891c57073d1360675dc664c19.pdf,
001116143,110523s1941\\\\dcua\\\\ot\\\f000\0\eng\d, (OCoLC)726767127, 0241 (online), C 13.29:64, Solar heating of various surfaces / , Building materials and structures report ; 64 , https://purl.fdlp.gov/GPO/gpo103202 https://www.govinfo.gov/content/pkg/GOVPUB-C13-cfdb72f0c90b47d04ecab316c555b7e6/pdf/GOVPUB-C13-cfdb72f0c90b47d04ecab316c555b7e6.pdf,
001116144,110523s1952\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726767134, 0241 (online), C 13.29:134, Fire resistance of concrete floors / , Building materials and structures report ; 134 , https://purl.fdlp.gov/GPO/gpo100307 https://www.govinfo.gov/content/pkg/GOVPUB-C13-87dbd2c74fafb5245080d7456191614e/pdf/GOVPUB-C13-87dbd2c74fafb5245080d7456191614e.pdf,
001116145,110523s1939\\\\dcua\\\\ot\\\f000\0\eng\d, (OCoLC)726767137, 0241 (online), C 13.29:22," Structural properties of ""Dun-Ti-Stone"" wall construction sponsored by the W.E. Dunn Manufacturing Company / ", Building materials and structures report ; 22 , https://purl.fdlp.gov/GPO/gpo100975 https://www.govinfo.gov/content/pkg/GOVPUB-C13-98cc175ed1b0fe10190afc2d7236c2eb/pdf/GOVPUB-C13-98cc175ed1b0fe10190afc2d7236c2eb.pdf,
001116146,110523s1941\\\\dcua\\\\ot\\\f000\0\eng\d, (OCoLC)726767143, 0241 (online), C 13.29:76, Effect of outdoor exposure on the water permeability of masonry walls / , Building materials and structures report ; 76 , https://purl.fdlp.gov/GPO/gpo99862 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8149e2ef12d8618fda787de20d79c6dc/pdf/GOVPUB-C13-8149e2ef12d8618fda787de20d79c6dc.pdf,
001116147,110523s1939\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726767149, 0241 (online), C 13.29:25," Structural properties of conventional wood-frame constructions for walls, partitions, floors, and roofs / ", Building materials and structures report ; 25 , https://purl.fdlp.gov/GPO/gpo94503 https://www.govinfo.gov/content/pkg/GOVPUB-C13-04885ce424b155b1e78ca70b46554a33/pdf/GOVPUB-C13-04885ce424b155b1e78ca70b46554a33.pdf,
001116148,110523s1947\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726767150, 0241 (online), C 13.29:108, Temperature distribution in a test bungalow with various heating devices / , Building materials and structures report ; 108 , https://purl.fdlp.gov/GPO/gpo94614 https://www.govinfo.gov/content/pkg/GOVPUB-C13-05b8f1d0f402e79f2cec86fad99a92c2/pdf/GOVPUB-C13-05b8f1d0f402e79f2cec86fad99a92c2.pdf,
001116149,110523s1941\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726767157, 0241 (online), C 13.29:78," Structural, heat-transfer, and water-permeability properties of five earth-wall constructions / ", Building materials and structures report ; 78 , https://purl.fdlp.gov/GPO/gpo96862 https://www.govinfo.gov/content/pkg/GOVPUB-C13-35831389ac6dcc799d78b5e5f081d745/pdf/GOVPUB-C13-35831389ac6dcc799d78b5e5f081d745.pdf,
001116150,110523s1939\\\\dcua\\\\ot\\\f000\0\eng\d, (OCoLC)726767164, 0241 (online), C 13.29:27," Structural properties of ""Bender steel home"" wall construction sponsored by the Bender Body Company / ", Building materials and structures report ; 27 , https://purl.fdlp.gov/GPO/gpo99153 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6f5eed55031d35ca7bde03325c05a3e7/pdf/GOVPUB-C13-6f5eed55031d35ca7bde03325c05a3e7.pdf,
