MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Bibliographic_Level/Illustrations/Publication status	Publications	001115415	1141780263		TD			Department of Transportation			TD 2.2:OP 2/			0982-G-05 (online)			2003?]-	https://purl.fdlp.gov/GPO/gpo132403			https://ops.fhwa.dot.gov/publications/publications.htm		
Bibliographic_Level/Illustrations/Publication status	USGS water data for the nation	001119154	224524300		I			Department of the Interior			I 19.194:			0621-V-13 (online)			2001]-	https://purl.fdlp.gov/GPO/gpo135885			http://waterdata.usgs.gov/nwis		
Bibliographic_Level/Illustrations/Publication status	Youth online	001120055	1152195237		HE			Department of Health and Human Services			HE 20.7069:			0504-W-41 (online)			20uu	https://purl.fdlp.gov/GPO/gpo136659			https://nccd.cdc.gov/Youthonline/App/Default.aspx		
Bibliographic_Level/Illustrations/Publication status	FoodData central	001123347	1157237507		A			Department of Agriculture			A 77.715:			0026-A-11 (online)			2019	https://purl.fdlp.gov/GPO/gpo139664			https://fdc.nal.usda.gov/		
Bibliographic_Level/Illustrations/Publication status	Land Treatment Digital Library	001123900	1159242188		I			Department of the Interior			I 19.121:806:			0621-K (online)			2013-	https://purl.fdlp.gov/GPO/gpo140016			https://pubs.er.usgs.gov/publication/ds806		
Bibliographic_Level/Illustrations/Publication status	How's my waterway?: informing the conversation about your waters	001125002	1156324404		EP			Environmental Protection Agency			EP 1.348:			0431-J-88 (online)			20uu	https://purl.fdlp.gov/GPO/gpo140722			https://mywaterway.epa.gov/		
Bibliographic_Level/Illustrations/Publication status	Planning, environment and public comment	001127052	1183787953		I			Department of the Interior			I 29.79/10:			0651-B-14 (online)			20uu	https://purl.fdlp.gov/GPO/gpo142851			https://parkplanning.nps.gov/publicHome.cfm		
Bibliographic_Level/Illustrations/Publication status	Audit and other reports	001129125	1196089615		L			Department of Labor			L 1.2:AU 2/			0745 (online)			20uu	https://purl.fdlp.gov/GPO/gpo144821			https://www.oig.dol.gov/auditreports.htm		
Bibliographic_Level/Illustrations/Publication status	FTC competition enforcement database	001131579	681406446		FT			Federal Trade Commission			FT 1.41:			0535-A-15 (online)			2009-	https://purl.fdlp.gov/GPO/gpo146772			https://www.ftc.gov/competition-enforcement-database		
Bibliographic_Level/Illustrations/Publication status	ITA metropolitan export series	001131670	1202667471	1226799688; 1226820679; 1226823851; 1226840977; 1226845376; 1226851584; 1226889832; 1226905670; 1226906008; 1226938014; 1226940325; 1226951067; 1226961062; 1226999941; 1227002530; 1227007249; 1227013248; 1227258053	C			Department of Commerce			C 61.62:			0231-B-51 (online)			20uu	https://purl.fdlp.gov/GPO/gpo146634			https://www.trade.gov/ita-metropolitan-export-series		
Bibliographic_Level/Illustrations/Publication status	Consumer product information database: health effects of consumer products.	001132921	1159228464		HE			Department of Health and Human Services			HE 20.3566:			0507-P-14 (online)			1994-	https://purl.fdlp.gov/GPO/gpo147827			https://www.whatsinproducts.com/		
Bibliographic_Level/Illustrations/Publication status	Foreign legal gazettes	001132981	1224182848	1226799920; 1226817821; 1226833259; 1226833630; 1226835513; 1226846470; 1226888218; 1226888981; 1226895612; 1226897371; 1226905152; 1226920636; 1226924113; 1226949753; 1226962618; 1226964770; 1226984734; 1226990540; 1226992586; 1227000155; 1227258382	LC			Library of Congress			LC 42.21:			0818-J-07 (online)			2015-	https://purl.fdlp.gov/GPO/gpo147838			https://loc.maps.arcgis.com/apps/opsdashboard/index.html#/72089675f5e845f99d8e6c12e892b96a?p1=Complete		
Bibliographic_Level/Illustrations/Publication status	Hazards GeoPlatform (HGP)	001133495	1225501517		HS			Department of Homeland Security			HS 5.102:H 33/6/			0520-E-01 (online)			20uu	https://purl.fdlp.gov/GPO/gpo148261			https://hazards.geoplatform.gov/portal/home/index.html		
Bibliographic_Level/Illustrations/Publication status	OIG reports	001134696	1228170520		EP			Environmental Protection Agency			EP 12.2:R 29/6/			0431-Z (online)			20uu	https://purl.fdlp.gov/GPO/gpo149213			https://www.epa.gov/office-inspector-general/oig-reports		
